iter	Passed	Remaining
407	6452	9362
408	6468	9346
409	6486	9334
410	6507	9326
411	6520	9305
412	6533	9285
413	6548	9269
414	6564	9253
415	6579	9236
416	6594	9220
417	6608	9201
418	6622	9182
419	6638	9167
420	6651	9147
421	6664	9127
422	6678	9110
423	6694	9094
424	6708	9075
425	6722	9058
426	6738	9041
427	6750	9021
428	6763	9001
429	6780	8987
430	6796	8972
431	6812	8957
432	6829	8942
433	6844	8926
434	6870	8923
435	6893	8916
436	6914	8908
437	6926	8887
438	6940	8869
439	6961	8859
440	6981	8849
441	7003	8841
442	7016	8822
443	7031	8804
444	7048	8790
445	7069	8781
446	7086	8766
447	7102	8751
448	7116	8733
449	7132	8717
450	7149	8702
451	7168	8691
452	7194	8687
453	7209	8670
454	7224	8653
455	7240	8637
456	7264	8632
457	7281	8617
458	7297	8601
459	7315	8587
460	7334	8575
461	7353	8563
462	7374	8553
463	7390	8537
464	7404	8518
465	7421	8504
466	7443	8495
467	7460	8480
468	7477	8465
469	7492	8449
470	7508	8433
471	7522	8414
472	7533	8393
473	7554	8383
474	7565	8361
475	7582	8346
476	7597	8330
477	7614	8315
478	7638	8308
479	7657	8296
480	7676	8282
481	7704	8280
482	7729	8273
483	7773	8287
484	7797	8279
485	7811	8261
486	7825	8243
487	7841	8227
488	7857	8211
489	7901	8223
490	7923	8214
491	7943	8201
492	7969	8195
493	8006	8200
494	8072	8236
495	8125	8256
496	8152	8250
497	8171	8237
498	8191	8224
499	8214	8214
500	8238	8205
501	8270	8204
502	8313	8214
503	8333	8201
504	8353	8188
505	8397	8198
506	8415	8183
507	8434	8168
508	8463	8164
509	8485	8152
510	8514	8147
511	8572	8170
512	8682	8242
513	8795	8316
514	9009	8484
515	9077	8514
516	9109	8509
517	9132	8498
518	9157	8486
519	9177	8471
520	9202	8460
521	9224	8446
522	9247	8434
523	9280	8430
524	9304	8418
525	9335	8412
526	9370	8410
527	9392	8396
528	9419	8386
529	9453	8383
530	9481	8374
531	9503	8360
532	9534	8353
533	9566	8348
534	9589	8334
535	9614	8322
536	9635	8307
537	9664	8299
538	9695	8292
539	9715	8275
540	9736	8260
541	9762	8249
542	9780	8231
543	9798	8213
544	9817	8196
545	9836	8179
546	9856	8162
547	9883	8151
548	9908	8140
549	9929	8123
